DATE,BABATOTALNSAUS
2004/7/1,166448
2004/8/1,171070
2004/9/1,162742
2004/10/1,207389
2004/11/1,176104
2004/12/1,190986
2005/1/1,177217
2005/2/1,221053
2005/3/1,271787
2005/4/1,210355
2005/5/1,202987
2005/6/1,236670
2005/7/1,174027
2005/8/1,182428
2005/9/1,196532
2005/10/1,200455
2005/11/1,231856
2005/12/1,183942
2006/1/1,190873
2006/2/1,243183
2006/3/1,299853
2006/4/1,230121
2006/5/1,276291
2006/6/1,196687
2006/7/1,185064
2006/8/1,243458
2006/9/1,181586
2006/10/1,179896
2006/11/1,210593
2006/12/1,193356
2007/1/1,183496
2007/2/1,233123
2007/3/1,291226
2007/4/1,221260
2007/5/1,219527
2007/6/1,249701
2007/7/1,186901
2007/8/1,242410
2007/9/1,194390
2007/10/1,202623
2007/11/1,222697
2007/12/1,189943
2008/1/1,186063
2008/2/1,280193
2008/3/1,237385
2008/4/1,226165
2008/5/1,267769
2008/6/1,190068
2008/7/1,222899
2008/8/1,196881
2008/9/1,181054
2008/10/1,222674
2008/11/1,171198
2008/12/1,178925
2009/1/1,188786
2009/2/1,207121
2009/3/1,214087
2009/4/1,256882
2009/5/1,197666
2009/6/1,183245
2009/7/1,220793
2009/8/1,178092
2009/9/1,221016
2009/10/1,176308
2009/11/1,174201
2009/12/1,190294
2010/1/1,186712
2010/2/1,214284
2010/3/1,219279
2010/4/1,266494
2010/5/1,206867
2010/6/1,185580
2010/7/1,221786
2010/8/1,183122
2010/9/1,228456
2010/10/1,185073
2010/11/1,185362
2010/12/1,193157
2011/1/1,207571
2011/2/1,237254
2011/3/1,230475
2011/4/1,276460
2011/5/1,181282
2011/6/1,199996
2011/7/1,231677
2011/8/1,188007
2011/9/1,225709
2011/10/1,177491
2011/11/1,183491
2011/12/1,213023
2012/1/1,177963
2012/2/1,227291
2012/3/1,293572
2012/4/1,225007
2012/5/1,211998
2012/6/1,238421
2012/7/1,178396
2012/8/1,230455
2012/9/1,175394
2012/10/1,183475
2012/11/1,206752
2012/12/1,203488
2013/1/1,269076
2013/2/1,225038
2013/3/1,235084
2013/4/1,220063
2013/5/1,246702
2013/6/1,199559
2013/7/1,233918
2013/8/1,196080
2013/9/1,180500
2013/10/1,240773
2013/11/1,178601
2013/12/1,167676
2014/1/1,261130
2014/2/1,236403
2014/3/1,247900
2014/4/1,232599
2014/5/1,263821
2014/6/1,209136
2014/7/1,238747
2014/8/1,200784
2014/9/1,194202
2014/10/1,243639
2014/11/1,176622
2014/12/1,187152
2015/1/1,258765
2015/2/1,244207
2015/3/1,249226
2015/4/1,296477
2015/5/1,212198
2015/6/1,217123
2015/7/1,255280
2015/8/1,208495
2015/9/1,256466
2015/10/1,208208
2015/11/1,186672
2015/12/1,203598
2016/1/1,265430
2016/2/1,257163
2016/3/1,321951
2016/4/1,249523
2016/5/1,240226
2016/6/1,252132
2016/7/1,224371
2016/8/1,276166
2016/9/1,218218
2016/10/1,208977
2016/11/1,247635
2016/12/1,186797
2017/1/1,270066
2017/2/1,277874
2017/3/1,356418
2017/4/1,267025
2017/5/1,309372
2017/6/1,249383
2017/7/1,229436
2017/8/1,300244
2017/9/1,223018
2017/10/1,231304
2017/11/1,275026
2017/12/1,192730
2018/1/1,304316
2018/2/1,305131
2018/3/1,394145
2018/4/1,291893
2018/5/1,348422
2018/6/1,276202
2018/7/1,249185
2018/8/1,329760
2018/9/1,248809
2018/10/1,242297
2018/11/1,283342
2018/12/1,213669
2019/1/1,354726
2019/2/1,319359
2019/3/1,327898
2019/4/1,299709
2019/5/1,343347
2019/6/1,270136
2019/7/1,239964
2019/8/1,325512
2019/9/1,249633
2019/10/1,315288
2019/11/1,228488
2019/12/1,224296
2020/1/1,361858
2020/2/1,322942
2020/3/1,282298
2020/4/1,301463
2020/5/1,285221
2020/6/1,349320
2020/7/1,584760
2020/8/1,431923
2020/9/1,465044
2020/10/1,349062
2020/11/1,307430
2020/12/1,309764
2021/1/1,500489
2021/2/1,459894
2021/3/1,611481
2021/4/1,511089
2021/5/1,482819
2021/6/1,516008
2021/7/1,380243
2021/8/1,382265
2021/9/1,461000
2021/10/1,364934
2021/11/1,335519
2021/12/1,374736
2022/1/1,448257
2022/2/1,448732
2022/3/1,562067
2022/4/1,445047
2022/5/1,408806
2022/6/1,470201
2022/7/1,363981
2022/8/1,468027
2022/9/1,364128
