DATE,NJBPPRIV
1988-01-01,2375
1988-02-01,2337
1988-03-01,5903
1988-04-01,4448
1988-05-01,4950
1988-06-01,5236
1988-07-01,3764
1988-08-01,4412
1988-09-01,3631
1988-10-01,3810
1988-11-01,2751
1988-12-01,2321
1989-01-01,2399
1989-02-01,1905
1989-03-01,2554
1989-04-01,3417
1989-05-01,4084
1989-06-01,3717
1989-07-01,2164
1989-08-01,3580
1989-09-01,3374
1989-10-01,2683
1989-11-01,2411
1989-12-01,2896
1990-01-01,2658
1990-02-01,1242
1990-03-01,2200
1990-04-01,1872
1990-05-01,1795
1990-06-01,1655
1990-07-01,1337
1990-08-01,1332
1990-09-01,1276
1990-10-01,1415
1990-11-01,1117
1990-12-01,1079
1991-01-01,783
1991-02-01,682
1991-03-01,929
1991-04-01,1447
1991-05-01,1313
1991-06-01,1515
1991-07-01,1310
1991-08-01,1894
1991-09-01,1364
1991-10-01,2061
1991-11-01,1821
1991-12-01,1377
1992-01-01,1323
1992-02-01,1130
1992-03-01,1495
1992-04-01,1466
1992-05-01,1442
1992-06-01,1263
1992-07-01,1646
1992-08-01,1140
1992-09-01,1396
1992-10-01,1164
1992-11-01,1128
1992-12-01,1094
1993-01-01,514
1993-02-01,1070
1993-03-01,1228
1993-04-01,1413
1993-05-01,1503
1993-06-01,1635
1993-07-01,1609
1993-08-01,1744
1993-09-01,2188
1993-10-01,2714
1993-11-01,2111
1993-12-01,1831
1994-01-01,1097
1994-02-01,1096
1994-03-01,2089
1994-04-01,2091
1994-05-01,2264
1994-06-01,2857
1994-07-01,2786
1994-08-01,2444
1994-09-01,1951
1994-10-01,2090
1994-11-01,2510
1994-12-01,2116
1995-01-01,1194
1995-02-01,1106
1995-03-01,1823
1995-04-01,1709
1995-05-01,2117
1995-06-01,1953
1995-07-01,1688
1995-08-01,2001
1995-09-01,2141
1995-10-01,1957
1995-11-01,1350
1995-12-01,1430
1996-01-01,1060
1996-02-01,1101
1996-03-01,1833
1996-04-01,1890
1996-05-01,2113
1996-06-01,1937
1996-07-01,2304
1996-08-01,2166
1996-09-01,1934
1996-10-01,2422
1996-11-01,2144
1996-12-01,1937
1997-01-01,1544
1997-02-01,1336
1997-03-01,2037
1997-04-01,2248
1997-05-01,2185
1997-06-01,2280
1997-07-01,2259
1997-08-01,1923
1997-09-01,2078
1997-10-01,2222
1997-11-01,1939
1997-12-01,2372
1998-01-01,1867
1998-02-01,1699
1998-03-01,2099
1998-04-01,2328
1998-05-01,2282
1998-06-01,2768
1998-07-01,2599
1998-08-01,2381
1998-09-01,2505
1998-10-01,3283
1998-11-01,2413
1998-12-01,2361
1999-01-01,1782
1999-02-01,2063
1999-03-01,2545
1999-04-01,2753
1999-05-01,2676
1999-06-01,3280
1999-07-01,2610
1999-08-01,3066
1999-09-01,2499
1999-10-01,2378
1999-11-01,2487
1999-12-01,2440
2000-01-01,3078
2000-02-01,1716
2000-03-01,2557
